Country,TotalSales
United Kingdom,9001744.094
Netherlands,285446.34
EIRE,283140.52
Germany,228678.4
France,209643.37
Australia,138453.81
Spain,61558.56
Switzerland,57067.6
Belgium,41196.34
Sweden,38367.83
Japan,37416.369999999995
Norway,36165.44
Portugal,33683.05
Finland,22546.08
Singapore,21279.29
Channel Islands,20440.54
Denmark,18955.34
Italy,17483.24
Hong Kong,15483.0
Cyprus,13502.85
Austria,10198.68
Israel,8129.41
Poland,7334.65
Greece,4760.52
Unspecified,4740.94
Iceland,4310.0
Canada,3666.38
USA,3580.39
Malta,2725.59
United Arab Emirates,1902.28
Lebanon,1693.88
Lithuania,1661.06
European Community,1300.25
Brazil,1143.6
RSA,1002.3100000000001
Czech Republic,826.74
Bahrain,754.14
Saudi Arabia,145.92
